,City,Cloudy,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Airai,51,TL,1567694355,87,-8.93,125.41,66.47,5.61
1,Ribeira Grande,40,PT,1567694357,73,38.52,-28.7,75.2,13.87
3,Saint-Pierre,90,FR,1567694358,48,48.95,4.24,69.01,16.11
4,Touros,75,BR,1567694359,66,-5.2,-35.46,84.2,13.87
5,Kapaa,20,US,1567694361,74,22.08,-159.32,82.4,14.99
7,Albany,20,US,1567694180,63,42.65,-73.75,66.99,4.7
8,Luderitz,0,NA,1567694363,59,-26.65,15.16,66.2,27.51
9,Faanui,70,PF,1567694365,83,-16.48,-151.75,76.73,23.09
11,Kemin,66,KG,1567694366,88,42.79,75.7,48.29,4.14
12,Los Llanos de Aridane,75,ES,1567694368,69,28.66,-17.92,77,5.82
13,Busselton,0,AU,1567694369,58,-33.64,115.35,43,10.69
15,Cape Town,0,ZA,1567694175,40,-33.93,18.42,73.99,14.99
16,Hobart,20,AU,1567694372,86,-42.88,147.33,43,4.7
17,Hilo,90,US,1567694373,83,19.71,-155.08,75.2,5.82
18,New Norfolk,20,AU,1567694161,86,-42.78,147.06,43,4.7
19,Jamestown,66,AU,1567694376,82,-33.21,138.6,45.23,13.15
20,Sambava,90,MG,1567694377,80,-14.27,50.17,69.53,2.57
21,Port Blair,75,IN,1567694378,88,11.67,92.75,80.6,13.87
22,Hermanus,0,ZA,1567694120,80,-34.42,19.24,71.01,15.01
23,Trinidad,75,BO,1567694304,38,-14.83,-64.9,77,9.17
24,Punta Arenas,20,CL,1567694382,80,-53.16,-70.91,41,3.36
25,Fortuna,90,US,1567694125,93,40.6,-124.16,59,4.54
26,Avarua,100,CK,1567694384,69,-21.21,-159.78,73.4,13.87
27,Panjab,0,AF,1567694386,38,34.38,67.02,44.87,7.76
28,Telenesti,0,MD,1567694387,33,47.5,28.37,75.2,3.36
29,Severo-Kurilsk,100,RU,1567694389,95,50.68,156.12,50.45,11.63
